Math_Score,Reading_Score,Writing_Score,Placement_Score,Placement_Offer_Count
66,89.0,66.0,100.0,1
66,77.0,68.0,97.0,0
66,88.0,67.0,99.0,2
66,91.0,71.0,81.0,3
66,78.0,61.0,75.0,0
66,92.0,60.0,75.0,0
66,82.0,75.0,99.0,1
66,78.0,64.0,99.0,1
66,76.0,62.0,94.0,2
66,80.0,71.0,87.0,3
66,84.0,67.0,83.0,1
66,78.0,62.0,77.0,0
66,92.0,60.0,81.0,3
66,86.0,62.0,80.0,3
66,76.0,64.0,82.0,0
66,84.0,74.0,83.0,1
66,78.0,73.0,79.0,0
66,88.0,62.0,75.0,3
66,90.0,60.0,93.0,4
66,89.0,64.0,84.0,4
66,82.0,73.0,86.0,2
66,88.0,66.0,98.0,0
66,82.0,68.0,89.0,0
66,95.0,74.0,96.0,2
66,90.0,74.0,98.0,2
66,87.0,69.0,83.0,2
66,92.0,72.0,94.0,3
66,89.0,78.0,91.0,0
66,95.0,66.0,91.0,3
66,87.0,76.0,100.0,2
66,83.0,79.0,94.0,0
66,89.0,63.0,86.0,3
66,87.0,64.0,81.0,3
66,91.0,61.0,76.0,2
66,77.0,72.0,96.0,0
66,77.0,80.0,97.0,3
66,79.0,71.0,75.0,3
66,84.0,71.0,75.0,0
